developer,success,total_reviews,average_playtime,review_score,num_games
Gameloft,615.8333333333334,1240.1666666666667,201.33333333333334,0.490739582188886,6
ClockStone,602.8,727.4,97.8,0.7664346757588648,5
Lonely Troops,601.125,662.875,231.0,0.7610035562173714,8
Blendo Games,595.6,770.0,103.6,0.8379192302461604,5
Endless Loop Studios,583.125,712.125,106.75,0.759658734652231,8
Pilgrim Adventures;GrabTheGames Studios,577.8,650.8,310.4,0.877947204360253,5
Artifex Mundi,569.8125,640.0,81.1875,0.8784299671601629,16
"KOEI TECMO GAMES CO., LTD.",555.625,796.3333333333334,207.36111111111111,0.7222162033187545,72
Rake in Grass,548.7142857142857,605.2857142857143,74.0,0.8881914994003806,7
Ludosity,539.8571428571429,584.2857142857143,322.7142857142857,0.879110184386695,7
DL Softworks,532.6428571428571,731.3571428571429,231.21428571428572,0.7757041242672547,14
Capybara Games,524.6,602.0,387.4,0.88615076493117,5
Tribute Games Inc.,519.2,729.4,211.6,0.7100330402534247,5
Zen Studios,511.8,637.0,258.0,0.7916706777021055,5
"Nippon Ichi Software, Inc.",511.27272727272725,598.7272727272727,106.54545454545455,0.8473071908175897,11
Krome Studios,510.7142857142857,585.2857142857143,48.714285714285715,0.8475739942680336,7
Puppygames,509.4,582.4,80.4,0.8738824942136756,5
Nomad Games,500.375,708.0,70.375,0.6971425525808683,8
KING Art,496.0,605.2857142857143,30.571428571428573,0.7592749971842585,7
Owlchemy Labs,493.3333333333333,618.6666666666666,165.16666666666666,0.7869485778641008,6
Games Farm,490.8,821.8,59.4,0.6014050406985116,5
Saibot Studios,482.2,595.0,75.2,0.793357067971612,5
FIVE-BN GAMES,468.3,521.5,32.1,0.8751499797806513,20
Illwinter Game Design,467.6,517.4,119.8,0.8806237630299736,5
MoeNovel,452.75,492.625,249.125,0.900192011332886,8
Forever Entertainment S. A.,437.9166666666667,623.0,273.6666666666667,0.7382004965690513,12
KT Racing,415.0,656.6,0.0,0.6218550302365486,5
Black Forest Games,414.0,555.3333333333334,66.83333333333333,0.6810280549575207,6
Wadjet Eye Games,409.25,437.5,38.75,0.9412088919233321,8
Google,381.875,424.0,18.125,0.8683115962345428,8
Creobit,379.82142857142856,586.7142857142857,102.71428571428571,0.7038935155211795,28
Sigma Team Inc.,375.44444444444446,444.55555555555554,66.66666666666667,0.7889131450849822,9
Croteam VR,360.0,418.0,36.0,0.8640147569853577,5
L. Stotch,356.75,452.0,8.0,0.803073644319064,8
"TALESSHOP Co., Ltd.",355.6,380.8,163.2,0.9354416628526454,5
Green Lava Studios,353.3333333333333,425.5,0.0,0.870211159952207,6
Jetdogs Studios,351.57142857142856,479.42857142857144,160.0,0.7664610446298953,7
Michaela Laws,349.1666666666667,405.3333333333333,12.5,0.8280035697299838,6
Microids,343.7142857142857,486.7142857142857,132.78571428571428,0.5829706358954427,14
Alda Games,341.4,478.8,197.8,0.6531209970941807,5
Zoo Corporation,336.6666666666667,415.55555555555554,320.55555555555554,0.6975777965446402,9
raptor lab,336.2,432.8,0.0,0.7622316387982957,5
Luden.io,331.8,391.6,30.6,0.7814431858467146,5
Labyrinthine,317.4,438.0,97.0,0.8034634881383231,5
InvertMouse,317.125,368.125,58.875,0.8687773535918666,8
Soccer Manager Ltd,315.3333333333333,462.6666666666667,143.0,0.6766800100961304,6
"Arcen Games, LLC",306.3636363636364,412.0,59.0,0.6752928321610742,11
BlueLine Games,305.6666666666667,399.1666666666667,66.16666666666667,0.7336156557492611,6
07th Expansion,302.77777777777777,314.55555555555554,187.0,0.9580477659192357,9
Climax Studios,301.375,408.625,36.125,0.7323122500208614,8
Milestone S.r.l.,301.24,425.56,21.24,0.6566166033865466,25
Out of the Park Developments,284.57142857142856,333.0,0.0,0.7600394204075739,7
Retro Army Limited,279.3333333333333,316.6666666666667,90.0,0.8238956828125898,6
Just1337 Studio,273.5263157894737,345.10526315789474,472.36842105263156,0.7689470503675276,19
Falcoware,272.1666666666667,364.3333333333333,390.8333333333333,0.6145115180625346,6
Pendulo Studios,270.6666666666667,337.0,23.5,0.7795997084346152,6
TML-Studios,270.55555555555554,525.1111111111111,5.222222222222222,0.5535975954610118,9
HB Studios,268.2,408.0,277.6,0.6221049938029207,5
1C Entertainment,265.6,344.1,63.7,0.689823938890118,10
Hothead Games,265.2,296.0,205.8,0.8713033701720965,5
Walter Machado,264.75,292.4166666666667,29.666666666666668,0.9049316117301566,12
NukGames,264.1111111111111,309.3333333333333,215.55555555555554,0.8501528211143655,9
Konstructors Entertainment,262.9,301.1,33.8,0.8515079809632246,10
Idea Factory,261.25,353.5,151.875,0.7643494578330672,8
10tons Ltd,259.85714285714283,290.7857142857143,43.285714285714285,0.818848007257843,14
Holospark,255.6,377.4,17.0,0.8428998909472138,5
Schell Games,255.33333333333334,290.3333333333333,69.33333333333333,0.8714368295300697,6
Strategy First,248.2,328.8,15.2,0.7473006317165501,5
Racing Bros,244.92857142857142,410.7857142857143,94.92857142857143,0.5091862486200887,14
Tuwi Michael Nannings,240.66666666666666,268.3333333333333,1.7777777777777777,0.7764682287885457,9
Reality Pump,229.83333333333334,424.6666666666667,298.8333333333333,0.5224871972440757,6
OneShark,227.6,256.6,111.4,0.8651462788857748,5
Impressions Games,219.71428571428572,249.42857142857142,1.0,0.8046503415634012,7
"Jackbox Games, Inc.",217.88235294117646,245.8235294117647,63.8235294117647,0.7950019309893831,17
Cyan Worlds,217.8,286.4,0.0,0.7221499963951525,5
Infinite Interactive,217.2,296.0,72.2,0.6747077363913471,5
Tale of Tales,216.83333333333334,332.6666666666667,8.166666666666666,0.6262768493510169,6
Exordium Games,214.4,252.2,20.0,0.7605340328101191,5
Wholetone Games,213.83333333333334,284.8333333333333,32.666666666666664,0.7241868109784106,6
Axyos Games,212.5,408.8333333333333,796.0,0.6207354729596899,6
Kyy Games,212.0,264.6,116.6,0.6481336802063358,5
Crew Lab,211.08333333333334,234.25,44.083333333333336,0.9075951893865559,12
Sometimes You,209.16666666666666,431.6666666666667,242.16666666666666,0.6121482835839916,6
