appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,review_score,success,log_success,log_reviews,log_playtime
1032520,JermaSlots,2019-04-06,1,"Steve ""Khad"" Grant","Steve ""Khad"" Grant",windows,0,Single-player;Steam Achievements;Steam Cloud,Casual;Free to Play;Indie,Free to Play;Indie;Casual,14,110,7,0,0,0-20000,0.0,117,0.9401709401709402,110.0,4.709530201312334,4.770684624465665,0.0
1032660,Romans from Mars (Free-to-Play),2019-03-19,1,Sidekick,Majesco,windows,0,Single-player;In-App Purchases,Action,Action,0,2,1,0,0,0-20000,0.0,3,0.6666666666666666,2.0,1.0986122886681098,1.3862943611198906,0.0
1034200,"Its Simple, SHOOT",2019-03-14,1,KyleR,KyleR,windows,0,Single-player,Action;Casual;Free to Play,Free to Play;Action;Casual,0,37,0,0,0,0-20000,0.0,37,1.0,37.0,3.6375861597263857,3.6375861597263857,0.0
1034740,Hard Light Vector,2019-03-26,1,"Actually A Game Company, L.L.C","Actually A Game Company, L.L.C",windows,0,Single-player;Steam Achievements,Action;Adventure;Free to Play;Indie,Free to Play;Action;Indie,18,23,8,0,0,0-20000,0.0,31,0.7419354838709677,23.0,3.1780538303479458,3.4657359027997265,0.0
1034880,DoraKone,2019-04-23,1,Apple Cider,Apple Cider,windows;mac;linux,0,Single-player;Partial Controller Support,Casual;Indie,Indie;Casual;Visual Novel,0,5,0,0,0,0-20000,0.0,5,1.0,5.0,1.791759469228055,1.791759469228055,0.0
1035750,文字獄,2019-03-13,0,Jia-Ho Jian,Jia-Ho Jian,windows;mac;linux,0,Single-player,Adventure;Free to Play;Indie,Free to Play;Adventure;Indie,0,54,8,0,0,0-20000,0.0,62,0.8709677419354839,54.0,4.007333185232471,4.143134726391533,0.0
1035800,Mistress of Maids: First Castle,2019-04-05,1,YDKR;Semenov Iurii;Aleksandr Golovkin,YDKR,windows,0,Single-player;Steam Achievements,Free to Play;Indie;RPG,Free to Play;RPG;Indie,8,28,1,0,0,0-20000,0.0,29,0.9655172413793104,28.0,3.367295829986474,3.4011973816621555,0.0
1035890,vApe Escape,2019-03-15,1,Gamechuck,Gamechuck,windows,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Science,5,19,2,0,0,0-20000,0.0,21,0.9047619047619048,19.0,2.995732273553991,3.091042453358316,0.0
1036200,Song Animals,2019-03-25,1,Myshkin Entertainment,Myshkin Entertainment,windows,0,Single-player;Steam Achievements,Indie,Indie;Free to Play;Puzzle,5,14,4,0,0,0-20000,0.0,18,0.7777777777777778,14.0,2.70805020110221,2.9444389791664403,0.0
1036270,Bug Aviators in Theme Park,2019-04-01,1,よるのあとち(Yorunoatochi),よるのあとち,windows,0,Single-player,Free to Play;Indie;Simulation,Free to Play;Indie;Simulation,0,10,6,0,0,0-20000,0.0,16,0.625,10.0,2.3978952727983707,2.833213344056216,0.0
1036850,Auf Abwegen,2019-03-09,1,Kindman,InSayn,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Adventure;Free to Play;Indie,Free to Play;Adventure;Indie,10,105,40,0,0,20000-50000,0.0,145,0.7241379310344828,105.0,4.663439094112067,4.983606621708336,0.0
1036950,Super Jigsaw Puzzle: Generations,2019-04-04,1,Flat Cat Games,Flat Cat Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Casual;Free to Play;Indie;Strategy,Casual;Indie;Strategy,17,18,4,0,0,0-20000,0.0,22,0.8181818181818182,18.0,2.9444389791664403,3.1354942159291497,0.0
